sample_id,shard_file,offset,severity,noise_target,snr_target,bandwidth_target,bit_target,method,pesq,stoi,estoi,si_sdr,lsd,hf_lsd,delta_stoi_vs_base,delta_estoi_vs_base,delta_si_sdr_vs_base,delta_lsd_vs_base,delta_hf_lsd_vs_base
adaptive_shard_00065.pt:235,adaptive_shard_00065.pt,235,heavy,1.0,7.7328410148620605,2,3,v1_s0p75,nan,0.7824546220294339,0.6503064519930993,16.579967337154365,14.118003845214844,14.67066478729248,0.0011378948716180837,0.0023500921066778035,0.040832748935514473,0.1215362548828125,0.049129486083984375
adaptive_shard_00065.pt:236,adaptive_shard_00065.pt,236,clean,0.0,0.0,0,0,degraded,nan,0.9999999999964618,0.9999999999912339,109.95385169585843,16.610139846801758,16.610107421875,0.15116263041318379,0.21066356285353904,91.36995197774736,4.965808868408203,4.219277381896973
adaptive_shard_00065.pt:236,adaptive_shard_00065.pt,236,clean,0.0,0.0,0,0,base,nan,0.848837369583278,0.7893364371376949,18.583899718111066,11.644330978393555,12.390830039978027,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00065.pt:236,adaptive_shard_00065.pt,236,clean,0.0,0.0,0,0,v1_s0p75,nan,0.8479061695562787,0.7722384025280529,18.701885838521275,8.40825366973877,7.83638334274292,-0.0009312000269993126,-0.017098034609641988,0.11798612041020817,-3.236077308654785,-4.554446697235107
adaptive_shard_00065.pt:237,adaptive_shard_00065.pt,237,light,0.0,0.0,1,2,degraded,nan,0.587252583181233,0.4610964705707804,20.021181747588464,26.85765838623047,27.58502769470215,0.15551364461719142,0.1185260465684067,4.408096621888635,14.32674789428711,14.940549850463867
adaptive_shard_00065.pt:237,adaptive_shard_00065.pt,237,light,0.0,0.0,1,2,base,nan,0.43173893856404155,0.3425704240023737,15.613085125699829,12.53091049194336,12.644477844238281,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00065.pt:237,adaptive_shard_00065.pt,237,light,0.0,0.0,1,2,v1_s0p75,nan,0.4288624265969141,0.33305815955980683,15.729690345053582,10.402264595031738,9.337380409240723,-0.0028765119671274597,-0.009512264442566865,0.11660521935375279,-2.128645896911621,-3.3070974349975586
adaptive_shard_00065.pt:238,adaptive_shard_00065.pt,238,medium,1.0,23.08730697631836,2,2,degraded,nan,0.42168335668706397,0.336308572942441,17.403962738267452,39.29508590698242,42.43465042114258,0.1092904187533652,0.08207191391502133,1.3969406920154626,26.813873291015625,29.839137077331543
adaptive_shard_00065.pt:238,adaptive_shard_00065.pt,238,medium,1.0,23.08730697631836,2,2,base,nan,0.31239293793369877,0.25423665902741965,16.00702204625199,12.481212615966797,12.595513343811035,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00065.pt:238,adaptive_shard_00065.pt,238,medium,1.0,23.08730697631836,2,2,v1_s0p75,nan,0.3083195585939834,0.24486706719158977,16.1245426937971,12.255375862121582,12.225931167602539,-0.004073379339715355,-0.009369591835829888,0.11752064754510982,-0.22583675384521484,-0.3695821762084961
