sample_id,severity,method,si_sdr,lsd,hf_lsd,stoi,estoi
adaptive_shard_00000.pt:63,heavy,v1_uncond,14.436118608415729,15.12643814086914,15.855608940124512,0.8311591919185239,0.5909511338728046
adaptive_shard_00000.pt:63,heavy,v1_cond,14.443393547020007,15.145054817199707,15.874198913574219,0.8310059961738897,0.5909788386713355
adaptive_shard_00000.pt:64,clean,base,19.4574515180908,9.595833778381348,9.931639671325684,0.8160333774682962,0.8120850609573181
adaptive_shard_00000.pt:64,clean,v1_uncond,19.69943761355217,8.122812271118164,7.8272929191589355,0.8166633676295161,0.8084534353225632
adaptive_shard_00000.pt:64,clean,v1_cond,19.705598701307963,8.12289810180664,7.828189373016357,0.8166497045864254,0.808441774468503
adaptive_shard_00000.pt:65,light,base,17.513675430361445,12.656329154968262,13.885393142700195,0.7976944614394943,0.747398948153812
adaptive_shard_00000.pt:65,light,v1_uncond,17.626187398850472,10.916934967041016,11.328047752380371,0.797082076404773,0.7389609448461121
adaptive_shard_00000.pt:65,light,v1_cond,17.629111827707955,10.915288925170898,11.325698852539062,0.7970665709378265,0.7389192246562586
adaptive_shard_00000.pt:66,medium,base,16.904126029378258,13.772476196289062,13.52605152130127,0.5608266708655988,0.365517356617853
adaptive_shard_00000.pt:66,medium,v1_uncond,17.02607099221322,13.471463203430176,13.51611614227295,0.5634044728358376,0.37006576105476924
adaptive_shard_00000.pt:66,medium,v1_cond,17.02599300378093,13.473417282104492,13.516782760620117,0.5633792411528249,0.3700302345952403
adaptive_shard_00000.pt:67,heavy,base,14.486165056661491,15.548810958862305,15.677610397338867,0.4352977888153033,0.32431390570777585
adaptive_shard_00000.pt:67,heavy,v1_uncond,14.546698603919157,14.849967002868652,15.087159156799316,0.43688188244418646,0.329338994782323
adaptive_shard_00000.pt:67,heavy,v1_cond,14.543815229309923,14.878924369812012,15.110062599182129,0.4367968232350987,0.32898044179538855
adaptive_shard_00000.pt:68,clean,base,32.31270275833557,7.1346964836120605,7.258840084075928,0.960505437123442,0.9245336471506325
adaptive_shard_00000.pt:68,clean,v1_uncond,30.829286697127994,5.911896228790283,5.802792072296143,0.9600981220089347,0.9195698100533998
adaptive_shard_00000.pt:68,clean,v1_cond,30.87181972262226,5.912205219268799,5.804632663726807,0.9600998696763574,0.9195090510288271
adaptive_shard_00000.pt:69,light,base,32.97137070148704,10.080580711364746,12.610167503356934,0.9733921144839313,0.932952387187541
adaptive_shard_00000.pt:69,light,v1_uncond,31.432457367411487,9.471941947937012,11.535447120666504,0.9732020422923283,0.9275911572664507
